Ability Name,URL
Black Jacket (passive),https://pillarsofeternity.fandom.com/wiki/Black_Jacket_(passive)
Bleak Walkers (passive),https://pillarsofeternity.fandom.com/wiki/Bleak_Walkers_(passive)
Blessed Defiance,https://pillarsofeternity.fandom.com/wiki/Blessed_Defiance
"Blessed Was Wengridh, Quickest of His Tribe (Deadfire)","https://pillarsofeternity.fandom.com/wiki/Blessed_Was_Wengridh,_Quickest_of_His_Tribe_(Deadfire)"
Blighted Spittle,https://pillarsofeternity.fandom.com/wiki/Blighted_Spittle
Blind Fury,https://pillarsofeternity.fandom.com/wiki/Blind_Fury
Blind Rage,https://pillarsofeternity.fandom.com/wiki/Blind_Rage
Blinding Sands,https://pillarsofeternity.fandom.com/wiki/Blinding_Sands
Blood Frenzy (Crimson Panoply),https://pillarsofeternity.fandom.com/wiki/Blood_Frenzy_(Crimson_Panoply)
Blood Gift (ability),https://pillarsofeternity.fandom.com/wiki/Blood_Gift_(ability)
Blood Mage (passive),https://pillarsofeternity.fandom.com/wiki/Blood_Mage_(passive)
Blood Price,https://pillarsofeternity.fandom.com/wiki/Blood_Price
Blood Surge,https://pillarsofeternity.fandom.com/wiki/Blood_Surge
Blood Thirst (Deadfire),https://pillarsofeternity.fandom.com/wiki/Blood_Thirst_(Deadfire)
Blood Ward (ability),https://pillarsofeternity.fandom.com/wiki/Blood_Ward_(ability)
Blooded (Deadfire),https://pillarsofeternity.fandom.com/wiki/Blooded_(Deadfire)
Bloodfire,https://pillarsofeternity.fandom.com/wiki/Bloodfire
Bloodlust (Deadfire),https://pillarsofeternity.fandom.com/wiki/Bloodlust_(Deadfire)
Bloody Slaughter (Deadfire),https://pillarsofeternity.fandom.com/wiki/Bloody_Slaughter_(Deadfire)
Boar Companion (Deadfire),https://pillarsofeternity.fandom.com/wiki/Boar_Companion_(Deadfire)
Boar Regeneration,https://pillarsofeternity.fandom.com/wiki/Boar_Regeneration
Boar's Endurance,https://pillarsofeternity.fandom.com/wiki/Boar%27s_Endurance
Body Control (Deadfire),https://pillarsofeternity.fandom.com/wiki/Body_Control_(Deadfire)
Bodyguard (Deadfire),https://pillarsofeternity.fandom.com/wiki/Bodyguard_(Deadfire)
Boiling Blood,https://pillarsofeternity.fandom.com/wiki/Boiling_Blood
Bravado (Deadfire ability),https://pillarsofeternity.fandom.com/wiki/Bravado_(Deadfire_ability)
Brilliant Tactician,https://pillarsofeternity.fandom.com/wiki/Brilliant_Tactician
Brutal Backlash (Deadfire),https://pillarsofeternity.fandom.com/wiki/Brutal_Backlash_(Deadfire)
Brute Force (Deadfire),https://pillarsofeternity.fandom.com/wiki/Brute_Force_(Deadfire)
Bull's Will (Deadfire),https://pillarsofeternity.fandom.com/wiki/Bull%27s_Will_(Deadfire)
Burden of the Body,https://pillarsofeternity.fandom.com/wiki/Burden_of_the_Body
Burden of the Soul,https://pillarsofeternity.fandom.com/wiki/Burden_of_the_Soul
Burning,https://pillarsofeternity.fandom.com/wiki/Burning
Call Hatchlings,https://pillarsofeternity.fandom.com/wiki/Call_Hatchlings
Calmo's Curse,https://pillarsofeternity.fandom.com/wiki/Calmo%27s_Curse
Candlebearer,https://pillarsofeternity.fandom.com/wiki/Candlebearer
Captain's Eye,https://pillarsofeternity.fandom.com/wiki/Captain%27s_Eye
Carlo's Training,https://pillarsofeternity.fandom.com/wiki/Carlo%27s_Training
Carnage (Deadfire),https://pillarsofeternity.fandom.com/wiki/Carnage_(Deadfire)
Catalyzing Venom,https://pillarsofeternity.fandom.com/wiki/Catalyzing_Venom
Caustic Backlash,https://pillarsofeternity.fandom.com/wiki/Caustic_Backlash
Celestial Attunement (Day),https://pillarsofeternity.fandom.com/wiki/Celestial_Attunement_(Day)
Celestial Attunement (Night),https://pillarsofeternity.fandom.com/wiki/Celestial_Attunement_(Night)
Certain Mutiny,https://pillarsofeternity.fandom.com/wiki/Certain_Mutiny
Chains of the Shattered Realms,https://pillarsofeternity.fandom.com/wiki/Chains_of_the_Shattered_Realms
Charged Field,https://pillarsofeternity.fandom.com/wiki/Charged_Field
Charm Gaze (passive),https://pillarsofeternity.fandom.com/wiki/Charm_Gaze_(passive)
Child of Flame,https://pillarsofeternity.fandom.com/wiki/Child_of_Flame
Child of the Void,https://pillarsofeternity.fandom.com/wiki/Child_of_the_Void
Chopping Wood,https://pillarsofeternity.fandom.com/wiki/Chopping_Wood
Clear Head,https://pillarsofeternity.fandom.com/wiki/Clear_Head
Cloak and Dagger,https://pillarsofeternity.fandom.com/wiki/Cloak_and_Dagger
Clouding Strikes,https://pillarsofeternity.fandom.com/wiki/Clouding_Strikes
Coel's Training,https://pillarsofeternity.fandom.com/wiki/Coel%27s_Training
Colossal,https://pillarsofeternity.fandom.com/wiki/Colossal
Combat Focus,https://pillarsofeternity.fandom.com/wiki/Combat_Focus
Combust (Burning Soldier),https://pillarsofeternity.fandom.com/wiki/Combust_(Burning_Soldier)
Combust (Flame Blight),https://pillarsofeternity.fandom.com/wiki/Combust_(Flame_Blight)
"Come, Come Soft Winds of Death (Deadfire)","https://pillarsofeternity.fandom.com/wiki/Come,_Come_Soft_Winds_of_Death_(Deadfire)"
Commitment,https://pillarsofeternity.fandom.com/wiki/Commitment
Communal Carnage,https://pillarsofeternity.fandom.com/wiki/Communal_Carnage
Companion Bond,https://pillarsofeternity.fandom.com/wiki/Companion_Bond
Companion's Prelude,https://pillarsofeternity.fandom.com/wiki/Companion%27s_Prelude
Compassion,https://pillarsofeternity.fandom.com/wiki/Compassion
Confident Aim (Deadfire),https://pillarsofeternity.fandom.com/wiki/Confident_Aim_(Deadfire)
Conjurer (passive),https://pillarsofeternity.fandom.com/wiki/Conjurer_(passive)
Constant Recovery (Black Jacket),https://pillarsofeternity.fandom.com/wiki/Constant_Recovery_(Black_Jacket)
Constant Recovery (Deadfire),https://pillarsofeternity.fandom.com/wiki/Constant_Recovery_(Deadfire)
Consuming Void,https://pillarsofeternity.fandom.com/wiki/Consuming_Void
Contentment in Pain,https://pillarsofeternity.fandom.com/wiki/Contentment_in_Pain
Coordinated Escape,https://pillarsofeternity.fandom.com/wiki/Coordinated_Escape
Coral Death Throe,https://pillarsofeternity.fandom.com/wiki/Coral_Death_Throe
Corona of the Soul,https://pillarsofeternity.fandom.com/wiki/Corona_of_the_Soul
Corrosive Aura,https://pillarsofeternity.fandom.com/wiki/Corrosive_Aura
Corrosive Solvent,https://pillarsofeternity.fandom.com/wiki/Corrosive_Solvent
Covalent Bond,https://pillarsofeternity.fandom.com/wiki/Covalent_Bond
Cover of Night,https://pillarsofeternity.fandom.com/wiki/Cover_of_Night
Cowardice,https://pillarsofeternity.fandom.com/wiki/Cowardice
Creeping Death,https://pillarsofeternity.fandom.com/wiki/Creeping_Death
Crimson Steel,https://pillarsofeternity.fandom.com/wiki/Crimson_Steel
Crippling Wounds,https://pillarsofeternity.fandom.com/wiki/Crippling_Wounds
Critical Defense (Deadfire),https://pillarsofeternity.fandom.com/wiki/Critical_Defense_(Deadfire)
Crucible Of Suffering (Deadfire),https://pillarsofeternity.fandom.com/wiki/Crucible_Of_Suffering_(Deadfire)
Cruelty and Curios,https://pillarsofeternity.fandom.com/wiki/Cruelty_and_Curios
Crunch the Bones,https://pillarsofeternity.fandom.com/wiki/Crunch_the_Bones
Crushing Demise,https://pillarsofeternity.fandom.com/wiki/Crushing_Demise
Darcozzi Paladini (passive),https://pillarsofeternity.fandom.com/wiki/Darcozzi_Paladini_(passive)
Darkest Before Dawn,https://pillarsofeternity.fandom.com/wiki/Darkest_Before_Dawn
Dauntless,https://pillarsofeternity.fandom.com/wiki/Dauntless
Dawn's Reflection,https://pillarsofeternity.fandom.com/wiki/Dawn%27s_Reflection
Death Denied,https://pillarsofeternity.fandom.com/wiki/Death_Denied
Death in Life,https://pillarsofeternity.fandom.com/wiki/Death_in_Life
Death Runes,https://pillarsofeternity.fandom.com/wiki/Death_Runes
Death Shriek,https://pillarsofeternity.fandom.com/wiki/Death_Shriek
Death's Usher (Deadfire),https://pillarsofeternity.fandom.com/wiki/Death%27s_Usher_(Deadfire)
Deathblows (Deadfire),https://pillarsofeternity.fandom.com/wiki/Deathblows_(Deadfire)
Debauchery,https://pillarsofeternity.fandom.com/wiki/Debauchery
Debonaire (passive),https://pillarsofeternity.fandom.com/wiki/Debonaire_(passive)
Deep Faith (Deadfire),https://pillarsofeternity.fandom.com/wiki/Deep_Faith_(Deadfire)
Deep Pockets (Deadfire),https://pillarsofeternity.fandom.com/wiki/Deep_Pockets_(Deadfire)
Deep Wounds (Deadfire),https://pillarsofeternity.fandom.com/wiki/Deep_Wounds_(Deadfire)
Defensive Beacon,https://pillarsofeternity.fandom.com/wiki/Defensive_Beacon
Defensive Bond (Deadfire),https://pillarsofeternity.fandom.com/wiki/Defensive_Bond_(Deadfire)
Defensive Roll,https://pillarsofeternity.fandom.com/wiki/Defensive_Roll
Defiant Resolve (Deadfire),https://pillarsofeternity.fandom.com/wiki/Defiant_Resolve_(Deadfire)
Delemgan (racial ability),https://pillarsofeternity.fandom.com/wiki/Delemgan_(racial_ability)
Denial (Deadfire ability),https://pillarsofeternity.fandom.com/wiki/Denial_(Deadfire_ability)
Desolation,https://pillarsofeternity.fandom.com/wiki/Desolation
Destroyed Limb,https://pillarsofeternity.fandom.com/wiki/Destroyed_Limb
Destroyed Limb (Baby Kraken),https://pillarsofeternity.fandom.com/wiki/Destroyed_Limb_(Baby_Kraken)
Destruction,https://pillarsofeternity.fandom.com/wiki/Destruction
Determination,https://pillarsofeternity.fandom.com/wiki/Determination
Determined Demise,https://pillarsofeternity.fandom.com/wiki/Determined_Demise
Devious,https://pillarsofeternity.fandom.com/wiki/Devious
Devoted (passive),https://pillarsofeternity.fandom.com/wiki/Devoted_(passive)
Diminishing Numbers,https://pillarsofeternity.fandom.com/wiki/Diminishing_Numbers
Dirty Fighting (Deadfire),https://pillarsofeternity.fandom.com/wiki/Dirty_Fighting_(Deadfire)
Disease Cloud (passive),https://pillarsofeternity.fandom.com/wiki/Disease_Cloud_(passive)
Disorienting Touch,https://pillarsofeternity.fandom.com/wiki/Disorienting_Touch
Disruptor Coil,https://pillarsofeternity.fandom.com/wiki/Disruptor_Coil
Distant Threat,https://pillarsofeternity.fandom.com/wiki/Distant_Threat
Distraction Training,https://pillarsofeternity.fandom.com/wiki/Distraction_Training
Divide and Conquer,https://pillarsofeternity.fandom.com/wiki/Divide_and_Conquer
Divine Purpose,https://pillarsofeternity.fandom.com/wiki/Divine_Purpose
Divine Retribution,https://pillarsofeternity.fandom.com/wiki/Divine_Retribution
Dominating Gaze (passive),https://pillarsofeternity.fandom.com/wiki/Dominating_Gaze_(passive)
Dominating Spores,https://pillarsofeternity.fandom.com/wiki/Dominating_Spores
Dragon Scales (ability),https://pillarsofeternity.fandom.com/wiki/Dragon_Scales_(ability)
Draining Whip (Ascendant),https://pillarsofeternity.fandom.com/wiki/Draining_Whip_(Ascendant)
Draining Whip (Beguiler),https://pillarsofeternity.fandom.com/wiki/Draining_Whip_(Beguiler)
Draining Whip (Deadfire),https://pillarsofeternity.fandom.com/wiki/Draining_Whip_(Deadfire)
Drawing Cut,https://pillarsofeternity.fandom.com/wiki/Drawing_Cut
Drawing Parry,https://pillarsofeternity.fandom.com/wiki/Drawing_Parry
Driving Flight (Deadfire),https://pillarsofeternity.fandom.com/wiki/Driving_Flight_(Deadfire)
"Dull the Edge, Blunt the Point (Deadfire)","https://pillarsofeternity.fandom.com/wiki/Dull_the_Edge,_Blunt_the_Point_(Deadfire)"
Echoing Horror,https://pillarsofeternity.fandom.com/wiki/Echoing_Horror
Elemental Clarity,https://pillarsofeternity.fandom.com/wiki/Elemental_Clarity
Elemental Endurance (Deadfire),https://pillarsofeternity.fandom.com/wiki/Elemental_Endurance_(Deadfire)
Elias Zelen's Training,https://pillarsofeternity.fandom.com/wiki/Elias_Zelen%27s_Training
Empowered by the Hunt (Duel Buffs),https://pillarsofeternity.fandom.com/wiki/Empowered_by_the_Hunt_(Duel_Buffs)
Empowered by the Hunt (Enraged Construct),https://pillarsofeternity.fandom.com/wiki/Empowered_by_the_Hunt_(Enraged_Construct)
Empowered by the Hunt (Ward Caster Buffs),https://pillarsofeternity.fandom.com/wiki/Empowered_by_the_Hunt_(Ward_Caster_Buffs)
Empowered Strikes,https://pillarsofeternity.fandom.com/wiki/Empowered_Strikes
Enchanter (passive),https://pillarsofeternity.fandom.com/wiki/Enchanter_(passive)
Encroaching Madness,https://pillarsofeternity.fandom.com/wiki/Encroaching_Madness
Enervating Aura,https://pillarsofeternity.fandom.com/wiki/Enervating_Aura
Enervating Blows (Deadfire),https://pillarsofeternity.fandom.com/wiki/Enervating_Blows_(Deadfire)
Enervating Presence,https://pillarsofeternity.fandom.com/wiki/Enervating_Presence
Enfeebled by Frost,https://pillarsofeternity.fandom.com/wiki/Enfeebled_by_Frost
Engagement Mastery,https://pillarsofeternity.fandom.com/wiki/Engagement_Mastery
Engagement Strike,https://pillarsofeternity.fandom.com/wiki/Engagement_Strike
Enrage,https://pillarsofeternity.fandom.com/wiki/Enrage
Enraged Boar,https://pillarsofeternity.fandom.com/wiki/Enraged_Boar
Entrancing Aroma,https://pillarsofeternity.fandom.com/wiki/Entrancing_Aroma
Eoten is Mighty,https://pillarsofeternity.fandom.com/wiki/Eoten_is_Mighty
Eoten is Smart,https://pillarsofeternity.fandom.com/wiki/Eoten_is_Smart
Epic Hangover,https://pillarsofeternity.fandom.com/wiki/Epic_Hangover
Essence Chill,https://pillarsofeternity.fandom.com/wiki/Essence_Chill
Eternal Blessing,https://pillarsofeternity.fandom.com/wiki/Eternal_Blessing
Evoker (passive),https://pillarsofeternity.fandom.com/wiki/Evoker_(passive)
Explosive Death,https://pillarsofeternity.fandom.com/wiki/Explosive_Death
Explosive Presence,https://pillarsofeternity.fandom.com/wiki/Explosive_Presence
Faces of the Past,https://pillarsofeternity.fandom.com/wiki/Faces_of_the_Past
Fair Trial,https://pillarsofeternity.fandom.com/wiki/Fair_Trial
Faith And Conviction (Deadfire),https://pillarsofeternity.fandom.com/wiki/Faith_And_Conviction_(Deadfire)
Faithful Companion (Deadfire),https://pillarsofeternity.fandom.com/wiki/Faithful_Companion_(Deadfire)
Familiar Passive,https://pillarsofeternity.fandom.com/wiki/Familiar_Passive
Family Bond,https://pillarsofeternity.fandom.com/wiki/Family_Bond
Family Discord,https://pillarsofeternity.fandom.com/wiki/Family_Discord
Family Ties,https://pillarsofeternity.fandom.com/wiki/Family_Ties
Farcasting,https://pillarsofeternity.fandom.com/wiki/Farcasting
Fast Runner (Deadfire),https://pillarsofeternity.fandom.com/wiki/Fast_Runner_(Deadfire)
Father's Bastion,https://pillarsofeternity.fandom.com/wiki/Father%27s_Bastion
Fear Ward (ability),https://pillarsofeternity.fandom.com/wiki/Fear_Ward_(ability)
Fearless (Deadfire),https://pillarsofeternity.fandom.com/wiki/Fearless_(Deadfire)
Feed the Chain,https://pillarsofeternity.fandom.com/wiki/Feed_the_Chain
Fiery Aura,https://pillarsofeternity.fandom.com/wiki/Fiery_Aura
Fiery Regeneration,https://pillarsofeternity.fandom.com/wiki/Fiery_Regeneration
Fighting Spirit (Deadfire),https://pillarsofeternity.fandom.com/wiki/Fighting_Spirit_(Deadfire)
Final Shock,https://pillarsofeternity.fandom.com/wiki/Final_Shock
Fire Shield,https://pillarsofeternity.fandom.com/wiki/Fire_Shield
First to the Fight,https://pillarsofeternity.fandom.com/wiki/First_to_the_Fight
Flame Shield (Fire Stag),https://pillarsofeternity.fandom.com/wiki/Flame_Shield_(Fire_Stag)
Focus Starved,https://pillarsofeternity.fandom.com/wiki/Focus_Starved
Footsteps of the Beast (ability),https://pillarsofeternity.fandom.com/wiki/Footsteps_of_the_Beast_(ability)
Forbidden Fist (passive),https://pillarsofeternity.fandom.com/wiki/Forbidden_Fist_(passive)
Form Phantasmic,https://pillarsofeternity.fandom.com/wiki/Form_Phantasmic
Foul Claws,https://pillarsofeternity.fandom.com/wiki/Foul_Claws
Foul Stench,https://pillarsofeternity.fandom.com/wiki/Foul_Stench
Free Action,https://pillarsofeternity.fandom.com/wiki/Free_Action
Frenzy (Crimson Panoply),https://pillarsofeternity.fandom.com/wiki/Frenzy_(Crimson_Panoply)
Frenzy (Lover's Quarrel) (Female),https://pillarsofeternity.fandom.com/wiki/Frenzy_(Lover%27s_Quarrel)_(Female)
Frenzy (Lover's Quarrel) (Male),https://pillarsofeternity.fandom.com/wiki/Frenzy_(Lover%27s_Quarrel)_(Male)
Frenzy Ward (ability),https://pillarsofeternity.fandom.com/wiki/Frenzy_Ward_(ability)
Frermàs mes Canc Suolias (passive),https://pillarsofeternity.fandom.com/wiki/Frerm%C3%A0s_mes_Canc_Suolias_(passive)
Fur of Frost,https://pillarsofeternity.fandom.com/wiki/Fur_of_Frost
Fury (passive),https://pillarsofeternity.fandom.com/wiki/Fury_(passive)
Furyshaper (passive),https://pillarsofeternity.fandom.com/wiki/Furyshaper_(passive)
Galawain's Favor,https://pillarsofeternity.fandom.com/wiki/Galawain%27s_Favor
Galawain's Gift,https://pillarsofeternity.fandom.com/wiki/Galawain%27s_Gift
Galawain's Rage,https://pillarsofeternity.fandom.com/wiki/Galawain%27s_Rage
Galawain's Wrath,https://pillarsofeternity.fandom.com/wiki/Galawain%27s_Wrath
Geirvard's Training,https://pillarsofeternity.fandom.com/wiki/Geirvard%27s_Training
Ghost Heart (passive),https://pillarsofeternity.fandom.com/wiki/Ghost_Heart_(passive)
Ghostly Form,https://pillarsofeternity.fandom.com/wiki/Ghostly_Form
Giant Creature,https://pillarsofeternity.fandom.com/wiki/Giant_Creature
Gift of Meditation,https://pillarsofeternity.fandom.com/wiki/Gift_of_Meditation
Glacial Momentum,https://pillarsofeternity.fandom.com/wiki/Glacial_Momentum
Globe of Invulnerability,https://pillarsofeternity.fandom.com/wiki/Globe_of_Invulnerability
Goldpact Knights (passive),https://pillarsofeternity.fandom.com/wiki/Goldpact_Knights_(passive)
Grace,https://pillarsofeternity.fandom.com/wiki/Grace
Graceful Retreat (Deadfire),https://pillarsofeternity.fandom.com/wiki/Graceful_Retreat_(Deadfire)
Granis' Training,https://pillarsofeternity.fandom.com/wiki/Granis%27_Training
Grave Touch,https://pillarsofeternity.fandom.com/wiki/Grave_Touch
Great Soul,https://pillarsofeternity.fandom.com/wiki/Great_Soul
Greater Fire Shield,https://pillarsofeternity.fandom.com/wiki/Greater_Fire_Shield
Greater Focus (Deadfire),https://pillarsofeternity.fandom.com/wiki/Greater_Focus_(Deadfire)
Greater Wildstrike Burn (Deadfire),https://pillarsofeternity.fandom.com/wiki/Greater_Wildstrike_Burn_(Deadfire)
Greater Wildstrike Corrode (Deadfire),https://pillarsofeternity.fandom.com/wiki/Greater_Wildstrike_Corrode_(Deadfire)
Greater Wildstrike Freeze (Deadfire),https://pillarsofeternity.fandom.com/wiki/Greater_Wildstrike_Freeze_(Deadfire)
Greater Wildstrike Shock (Deadfire),https://pillarsofeternity.fandom.com/wiki/Greater_Wildstrike_Shock_(Deadfire)
Grieving,https://pillarsofeternity.fandom.com/wiki/Grieving
Grub Companion,https://pillarsofeternity.fandom.com/wiki/Grub_Companion
Guardian's Boon,https://pillarsofeternity.fandom.com/wiki/Guardian%27s_Boon
Guilt,https://pillarsofeternity.fandom.com/wiki/Guilt
Gunhawk (passive),https://pillarsofeternity.fandom.com/wiki/Gunhawk_(passive)
Gunner (Deadfire),https://pillarsofeternity.fandom.com/wiki/Gunner_(Deadfire)
Gunner's Focus,https://pillarsofeternity.fandom.com/wiki/Gunner%27s_Focus
Hale and Hardy (Deadfire),https://pillarsofeternity.fandom.com/wiki/Hale_and_Hardy_(Deadfire)
Hammering Thoughts,https://pillarsofeternity.fandom.com/wiki/Hammering_Thoughts
"Heads, I Win","https://pillarsofeternity.fandom.com/wiki/Heads,_I_Win"
Heart of the Storm (Deadfire),https://pillarsofeternity.fandom.com/wiki/Heart_of_the_Storm_(Deadfire)
Heartbeat Drumming,https://pillarsofeternity.fandom.com/wiki/Heartbeat_Drumming
Heavy Blows,https://pillarsofeternity.fandom.com/wiki/Heavy_Blows
Helfire Iron,https://pillarsofeternity.fandom.com/wiki/Helfire_Iron
Helscar,https://pillarsofeternity.fandom.com/wiki/Helscar
Helwalker (passive),https://pillarsofeternity.fandom.com/wiki/Helwalker_(passive)
Her Courage Thick as Steel (Deadfire),https://pillarsofeternity.fandom.com/wiki/Her_Courage_Thick_as_Steel_(Deadfire)
Hierarch's Gaze,https://pillarsofeternity.fandom.com/wiki/Hierarch%27s_Gaze
Hindsight,https://pillarsofeternity.fandom.com/wiki/Hindsight
Hold Fast,https://pillarsofeternity.fandom.com/wiki/Hold_Fast
Hold the Line (Deadfire),https://pillarsofeternity.fandom.com/wiki/Hold_the_Line_(Deadfire)
Hunter of Hunters,https://pillarsofeternity.fandom.com/wiki/Hunter_of_Hunters
Hunter's Instincts (Deadfire),https://pillarsofeternity.fandom.com/wiki/Hunter%27s_Instincts_(Deadfire)
Icy Regeneration,https://pillarsofeternity.fandom.com/wiki/Icy_Regeneration
Illusionist (passive),https://pillarsofeternity.fandom.com/wiki/Illusionist_(passive)
Imagined Pain,https://pillarsofeternity.fandom.com/wiki/Imagined_Pain
Imir Companion,https://pillarsofeternity.fandom.com/wiki/Imir_Companion
Immortal Will,https://pillarsofeternity.fandom.com/wiki/Immortal_Will
Immune to Afflictions and Inspirations,https://pillarsofeternity.fandom.com/wiki/Immune_to_Afflictions_and_Inspirations
Immunity: Acid,https://pillarsofeternity.fandom.com/wiki/Immunity:_Acid
Immunity: Body Afflictions,https://pillarsofeternity.fandom.com/wiki/Immunity:_Body_Afflictions
Immunity: Constitution Afflictions,https://pillarsofeternity.fandom.com/wiki/Immunity:_Constitution_Afflictions
Immunity: Dexterity Afflictions,https://pillarsofeternity.fandom.com/wiki/Immunity:_Dexterity_Afflictions
Immunity: Disease,https://pillarsofeternity.fandom.com/wiki/Immunity:_Disease
Immunity: Flanked,https://pillarsofeternity.fandom.com/wiki/Immunity:_Flanked
Immunity: Frost,https://pillarsofeternity.fandom.com/wiki/Immunity:_Frost
Immunity: Ground,https://pillarsofeternity.fandom.com/wiki/Immunity:_Ground
Immunity: Ground (Imp),https://pillarsofeternity.fandom.com/wiki/Immunity:_Ground_(Imp)
Immunity: Injuries,https://pillarsofeternity.fandom.com/wiki/Immunity:_Injuries
Immunity: Intellect Afflictions,https://pillarsofeternity.fandom.com/wiki/Immunity:_Intellect_Afflictions
Immunity: Interrupts,https://pillarsofeternity.fandom.com/wiki/Immunity:_Interrupts
Immunity: Might Afflictions,https://pillarsofeternity.fandom.com/wiki/Immunity:_Might_Afflictions
Immunity: Mind,https://pillarsofeternity.fandom.com/wiki/Immunity:_Mind
Immunity: Mind Afflictions,https://pillarsofeternity.fandom.com/wiki/Immunity:_Mind_Afflictions
Immunity: Perception Afflictions,https://pillarsofeternity.fandom.com/wiki/Immunity:_Perception_Afflictions
Immunity: Poison,https://pillarsofeternity.fandom.com/wiki/Immunity:_Poison
Immunity: Push,https://pillarsofeternity.fandom.com/wiki/Immunity:_Push
Immunity: Resolve Afflictions,https://pillarsofeternity.fandom.com/wiki/Immunity:_Resolve_Afflictions
